nom,email,role,groupe
Olivier Da Silva,olivier.da silva@example.com,delegue_suppleant,6ème 1
Raymond Michel,raymond.michel@example.com,membre,3ème 2
Louis Lefevre,louis.lefevre@example.com,membre,6ème 2
Jacqueline Lambert,jacqueline.lambert@example.com,delegue_titulaire,4ème 4
Valérie Morel,valerie.morel@example.com,delegue_suppleant,3ème 4
Josiane Meunier,josiane.meunier@example.com,delegue_suppleant,6ème 3
Monique Simon,monique.simon@example.com,delegue_suppleant;delegue_titulaire,3ème 4
Laurence Garcia,laurence.garcia@example.com,delegue_titulaire;membre,6ème 2
Paul Michel,paul.michel@example.com,delegue_suppleant,3ème 2
Véronique André,veronique.andré@example.com,membre,6ème 4
Berthe Lopez,berthe.lopez@example.com,delegue_suppleant,3ème 1
Pascal Boyer,pascal.boyer@example.com,membre,4ème 4
Olivier Nguyen,olivier.nguyen@example.com,delegue_suppleant,3ème 4;3ème 1;4ème 4
Jeanne Fabre,jeanne.fabre@example.com,delegue_titulaire,5ème 4;3ème 1;5ème 3
Antoine Marchand,antoine.marchand@example.com,membre,4ème 2
Michel Gerard,michel.gerard@example.com,membre,5ème 4
Céline Faure,celine.faure@example.com,membre;delegue_suppleant,3ème 1
Josiane Giraud,josiane.giraud@example.com,membre,3ème 2
Bruno Fournier,bruno.fournier@example.com,delegue_titulaire,6ème 3
Anne François,anne.françois@example.com,delegue_suppleant,4ème 4
Laurence Garnier,laurence.garnier@example.com,delegue_titulaire,3ème 4
Pierre André,pierre.andré@example.com,membre,4ème 2
Bruno Leroux,bruno.leroux@example.com,membre,6ème 2
Gérard Leroy,gerard.leroy@example.com,membre,6ème 4;4ème 1;5ème 1
Yves Richard,yves.richard@example.com,delegue_suppleant,3ème 1;5ème 1
Serge Dubois,serge.dubois@example.com,membre,4ème 2
Marcel Dubois,marcel.dubois@example.com,delegue_titulaire,5ème 3;6ème 2;5ème 2
Didier Vincent,didier.vincent@example.com,membre,6ème 3
Gilbert Picard,gilbert.picard@example.com,membre,5ème 4
Colette Mathieu,colette.mathieu@example.com,membre,6ème 2;3ème 2;5ème 3
Didier Nicolas,didier.nicolas@example.com,delegue_suppleant,5ème 3
Georges Joly,georges.joly@example.com,delegue_suppleant,5ème 4
André Michel,andre.michel@example.com,delegue_titulaire;delegue_suppleant,5ème 2
Catherine Renaud,catherine.renaud@example.com,membre,5ème 1
Victor Nicolas,victor.nicolas@example.com,delegue_titulaire,5ème 3
Fernand Blanc,fernand.blanc@example.com,delegue_titulaire,3ème 3
Augustine Leclercq,augustine.leclercq@example.com,membre,3ème 1
Jacques Petit,jacques.petit@example.com,membre,3ème 2
Luc Garnier,luc.garnier@example.com,delegue_suppleant,3ème 3
Denise Masson,denise.masson@example.com,delegue_titulaire,6ème 4;5ème 2
Philippe Simon,philippe.simon@example.com,membre,3ème 1
Jacques Marchand,jacques.marchand@example.com,delegue_titulaire,6ème 4
Yvonne Legrand,yvonne.legrand@example.com,delegue_suppleant;membre,5ème 4
Pierre Roche,pierre.roche@example.com,delegue_titulaire,3ème 1
Chantal Nicolas,chantal.nicolas@example.com,delegue_titulaire,5ème 3
Marie Boyer,marie.boyer@example.com,membre,3ème 3
Marcelle Legrand,marcelle.legrand@example.com,delegue_suppleant,5ème 3
Jean Schmitt,jean.schmitt@example.com,membre,5ème 4
Armand Olivier,armand.olivier@example.com,delegue_titulaire;delegue_suppleant,5ème 2
Thomas Marie,thomas.marie@example.com,delegue_suppleant,3ème 3
Pascal Thomas,pascal.thomas@example.com,delegue_suppleant,6ème 1
Lucien Brun,lucien.brun@example.com,delegue_titulaire,4ème 2
Didier Muller,didier.muller@example.com,delegue_suppleant,4ème 1
Agnès Chevalier,agnes.chevalier@example.com,delegue_suppleant,5ème 1
Claire Noel,claire.noel@example.com,delegue_titulaire,3ème 3
Yves Robert,yves.robert@example.com,delegue_titulaire,5ème 3
Jacqueline Henry,jacqueline.henry@example.com,delegue_suppleant,3ème 2
Jeannine Caron,jeannine.caron@example.com,membre,3ème 4
Nathalie Perrin,nathalie.perrin@example.com,delegue_suppleant,5ème 2
Julie Pierre,julie.pierre@example.com,delegue_suppleant;membre,4ème 3
Cécile Masson,cecile.masson@example.com,membre,5ème 1
Lucienne Moreau,lucienne.moreau@example.com,membre,5ème 2
Alphonse Barbier,alphonse.barbier@example.com,delegue_titulaire,4ème 3
Nicole Thomas,nicole.thomas@example.com,membre,5ème 4
Nicole Martin,nicole.martin@example.com,delegue_suppleant,6ème 3
Marcel Dupont,marcel.dupont@example.com,membre,3ème 3
Marie Blanc,marie.blanc@example.com,delegue_suppleant,4ème 1
Fernand Picard,fernand.picard@example.com,delegue_titulaire,6ème 4
Antoine Laurent,antoine.laurent@example.com,membre;delegue_titulaire,3ème 1
Colette Joly,colette.joly@example.com,membre,6ème 2;5ème 1
Marie Dumont,marie.dumont@example.com,membre,3ème 4
Catherine Lucas,catherine.lucas@example.com,membre,3ème 2
Michèle Lacroix,michele.lacroix@example.com,membre,6ème 1
Danielle Fournier,danielle.fournier@example.com,membre,6ème 1
Louis Garnier,louis.garnier@example.com,membre,4ème 3
Agnès Lambert,agnes.lambert@example.com,delegue_suppleant,6ème 2;3ème 4
Bruno Arnaud,bruno.arnaud@example.com,delegue_titulaire,5ème 1
Ernest Bonnet,ernest.bonnet@example.com,delegue_titulaire,5ème 1;5ème 3;5ème 4
Corinne Olivier,corinne.olivier@example.com,delegue_suppleant,5ème 3
Christophe Legrand,christophe.legrand@example.com,delegue_titulaire,6ème 3
Yves Garnier,yves.garnier@example.com,delegue_titulaire,3ème 2
Émile Martinez,emile.martinez@example.com,membre,4ème 1
Henri Lopez,henri.lopez@example.com,membre,4ème 4
René Roger,rene.roger@example.com,delegue_titulaire,3ème 2
Yvette Picard,yvette.picard@example.com,delegue_suppleant,6ème 3
Marcel Da Silva,marcel.da silva@example.com,delegue_titulaire,4ème 1
Raymond Martinez,raymond.martinez@example.com,delegue_suppleant;membre,6ème 4
Gaston Morin,gaston.morin@example.com,membre,3ème 1
Albert Gaillard,albert.gaillard@example.com,membre,5ème 2
Léonie Vincent,leonie.vincent@example.com,delegue_titulaire,4ème 2
Gilbert Garcia,gilbert.garcia@example.com,delegue_titulaire,5ème 2;6ème 4
Isabelle Sanchez,isabelle.sanchez@example.com,membre,6ème 2
Bernard Olivier,bernard.olivier@example.com,membre,4ème 2;5ème 1
Marthe Michel,marthe.michel2@example.com,delegue_suppleant,3ème 4
Arthur Perrin,arthur.perrin@example.com,delegue_suppleant,5ème 1
Denise Moreau,denise.moreau@example.com,delegue_titulaire,6ème 1
Michèle Leroux,michele.leroux@example.com,delegue_suppleant,3ème 4
Jeanne Garnier,jeanne.garnier@example.com,membre,3ème 3
Albert Olivier,albert.olivier@example.com,delegue_suppleant,3ème 2
Henri Noel,henri.noel@example.com,delegue_suppleant,4ème 1
Jean Meunier,jean.meunier@example.com,delegue_suppleant,4ème 2
Léon Fabre,leon.fabre2@example.com,delegue_titulaire,6ème 1
Isabelle Gaillard,isabelle.gaillard@example.com,delegue_titulaire,3ème 3
André Faure,andre.faure@example.com,membre,3ème 2;3ème 4
Josiane Vidal,josiane.vidal@example.com,delegue_titulaire,5ème 1
Marcelle Perez,marcelle.perez2@example.com,delegue_suppleant,4ème 1
Robert Muller,robert.muller@example.com,delegue_suppleant,3ème 4
Daniel Mercier,daniel.mercier@example.com,delegue_suppleant,5ème 3;5ème 2
Jean Petit,jean.petit@example.com,delegue_titulaire;membre,6ème 1
Gérard Giraud,gerard.giraud@example.com,delegue_suppleant;membre,4ème 1
Madeleine Marchand,madeleine.marchand@example.com,membre,6ème 1
Françoise Meunier,françoise.meunier@example.com,membre,6ème 3
Antoine Robert,antoine.robert@example.com,membre,3ème 1
Sophie Simon,sophie.simon@example.com,delegue_titulaire,4ème 2
Odette Renard,odette.renard@example.com,delegue_titulaire,3ème 1;3ème 4;5ème 3
Thierry Dupont,thierry.dupont@example.com,membre,6ème 2;3ème 4
Alphonse Dumont,alphonse.dumont@example.com,membre,5ème 3
Laurence Leclercq,laurence.leclercq@example.com,delegue_titulaire,4ème 3
Gérard Barbier,gerard.barbier@example.com,delegue_titulaire,3ème 3
Bruno Pierre,bruno.pierre@example.com,membre,6ème 1
Thomas Morel,thomas.morel@example.com,membre,5ème 3
Juliette David,juliette.david@example.com,delegue_suppleant,5ème 1
Colette Dufour,colette.dufour@example.com,delegue_titulaire,6ème 3
Didier Mathieu,didier.mathieu@example.com,delegue_suppleant,3ème 3
Brigitte Moreau,brigitte.moreau@example.com,delegue_titulaire,3ème 4;5ème 3;4ème 2
Georges Dumont,georges.dumont@example.com,delegue_suppleant,4ème 1
Denise Nicolas,denise.nicolas@example.com,membre,6ème 3
Marie André,marie.andré@example.com,delegue_suppleant,4ème 4
Thérèse Noel,therese.noel@example.com,membre,5ème 2
Valérie Roy,valerie.roy@example.com,membre,6ème 1
Alain Lopez,alain.lopez@example.com,delegue_titulaire,4ème 4
Denise Jean,denise.jean@example.com,membre,4ème 1
Cécile Dubois,cecile.dubois@example.com,delegue_titulaire,4ème 4
Michel Brunet,michel.brunet@example.com,delegue_suppleant,6ème 1
Cécile Duval,cecile.duval@example.com,delegue_titulaire,4ème 1
Jacqueline Fontaine,jacqueline.fontaine@example.com,delegue_suppleant,6ème 3
Catherine Brun,catherine.brun@example.com,delegue_titulaire;membre,5ème 2
Céline Lemoine,celine.lemoine@example.com,delegue_suppleant;delegue_titulaire,4ème 3
Léonie Dumont,leonie.dumont@example.com,delegue_suppleant,4ème 1
Thérèse Sanchez,therese.sanchez@example.com,delegue_suppleant,5ème 3
Nicole Dupuis,nicole.dupuis@example.com,membre;delegue_titulaire,4ème 4
Madeleine Henry,madeleine.henry@example.com,delegue_suppleant,6ème 3
Danielle Mercier,danielle.mercier@example.com,delegue_suppleant,3ème 3
Madeleine Leclercq,madeleine.leclercq@example.com,membre,6ème 4;6ème 3
Didier Meunier,didier.meunier@example.com,delegue_suppleant,5ème 2;4ème 1;6ème 2
Thomas Fernandez,thomas.fernandez@example.com,delegue_titulaire,6ème 2
Paul Lefevre,paul.lefevre@example.com,membre,4ème 1
Yvette Perez,yvette.perez@example.com,membre,3ème 3
Gaston Jean,gaston.jean@example.com,delegue_suppleant,4ème 2
Christophe David,christophe.david@example.com,delegue_suppleant,3ème 1
Corinne Simon,corinne.simon@example.com,delegue_suppleant;membre,4ème 3
Marguerite Durand,marguerite.durand@example.com,membre,6ème 2
Corinne Pierre,corinne.pierre@example.com,delegue_suppleant,4ème 1
Jean Lemaire,jean.lemaire@example.com,delegue_suppleant,6ème 3
Léopold Morel,leopold.morel@example.com,delegue_suppleant,3ème 2
Didier Chevalier,didier.chevalier@example.com,membre;delegue_titulaire,4ème 4
Agnès Renaud,agnes.renaud@example.com,delegue_titulaire;delegue_suppleant,3ème 1
Marthe Durand,marthe.durand@example.com,delegue_suppleant,5ème 1
Nicolas Mercier,nicolas.mercier@example.com,delegue_titulaire,4ème 2
Jean André,jean.andré@example.com,membre,5ème 2
Eugène Blanchard,eugene.blanchard@example.com,delegue_suppleant,4ème 3
Julie Marchand,julie.marchand@example.com,delegue_titulaire,6ème 1
Sandrine David,sandrine.david@example.com,delegue_suppleant,6ème 4
Suzanne Barbier,suzanne.barbier@example.com,membre,5ème 1
Andrée François,andree.françois@example.com,delegue_titulaire,6ème 4
Arthur Dumont,arthur.dumont@example.com,delegue_titulaire,6ème 1
Isabelle Fournier,isabelle.fournier@example.com,delegue_suppleant,4ème 4
Julie Bonnet,julie.bonnet@example.com,membre,4ème 1
Brigitte Henry,brigitte.henry@example.com,delegue_suppleant,3ème 3
Serge Barbier,serge.barbier@example.com,membre,4ème 4
Bruno Clement,bruno.clement@example.com,delegue_suppleant,3ème 3
Henriette Lacroix,henriette.lacroix@example.com,delegue_titulaire,6ème 4
Cécile Roux,cecile.roux@example.com,delegue_suppleant,3ème 1;5ème 2
Lucien Vincent,lucien.vincent@example.com,membre,5ème 3
Brigitte Lambert,brigitte.lambert@example.com,delegue_titulaire,6ème 2
Juliette Garcia,juliette.garcia@example.com,delegue_suppleant,5ème 3
Marie Garcia,marie.garcia@example.com,delegue_titulaire;membre,5ème 3
Sandrine Chevalier,sandrine.chevalier@example.com,membre,3ème 3
